trade_id,entry_time,exit_time,entry_price,exit_price,side,size,pnl,pnl_percent,exit_reason,fees_paid,duration_hours,max_favorable,max_adverse
PAPER_20260213_133137_1,2025-12-28 20:00:00,2025-12-28 21:00:00,87427.244765,87500.78119122991,long,438.77008337792404,0.15048219371477245,0.03429636600478028,take_profit,0.6581551250668861,1.0,0.0,0.0
PAPER_20260213_133140_2,2025-12-29 02:00:00,2025-12-29 03:00:00,89074.08629199285,90033.42599199284,long,458.007152639044,4.709192641870493,1.0281919430157487,take_profit,0.6870107289585661,1.0,0.0,0.0
PAPER_20260213_133143_3,2025-12-29 03:00:00,2025-12-29 04:00:00,90033.42604867695,90052.91653867695,long,401.32305327443106,-0.11329239059389029,-0.028229724076284043,take_profit,0.6019845799116466,1.0,0.0,0.0
PAPER_20260213_133146_4,2025-12-29 04:00:00,2025-12-29 05:00:00,90052.91654459671,89894.01560459672,long,395.4032898144409,-0.895702890476789,-0.22652894236088275,take_profit,0.5931049347216614,1.0,0.0,0.0
PAPER_20260213_133148_5,2025-12-29 05:00:00,2025-12-29 06:00:00,89894.0156051877,89687.48234518769,long,394.81230402134645,-1.105006200368849,-0.2798813991139203,take_profit,0.5922184560320197,1.0,0.0,0.0
PAPER_20260213_133150_6,2025-12-29 07:00:00,2025-12-29 08:00:00,89528.09189404875,89465.54450404875,long,395.95125361811483,-0.4744795295118008,-0.11983281405882971,take_profit,0.5939268804271722,1.0,0.0,0.0
PAPER_20260213_133151_7,2025-12-29 13:00:00,2025-12-29 14:00:00,87300.32199256193,87342.52974256194,long,297.4380703046642,-0.0044716925004759656,-0.0015034028750575321,take_profit,0.44615710545699633,1.0,0.0,0.0
PAPER_20260213_133154_8,2025-12-29 14:00:00,2025-12-29 15:00:00,87342.52976053074,87603.92810053071,long,279.4692745096067,0.6977776575849064,0.24967956094970306,take_profit,0.41920391176441,1.0,0.0,0.0
PAPER_20260213_133157_9,2025-12-29 15:00:00,2025-12-29 16:00:00,87603.92810597601,87539.48261597601,long,274.0239897730293,-0.33852331053305174,-0.12353783725776944,take_profit,0.411035984659544,1.0,0.0,0.0
PAPER_20260213_133200_10,2025-12-29 16:00:00,2025-12-29 17:00:00,87539.48261152081,87762.13973152082,long,278.479190111181,0.5700623107183374,0.20470553311029943,take_profit,0.4177187851667715,1.0,0.0,0.0
PAPER_20260213_133202_11,2025-12-29 18:00:00,2025-12-29 19:00:00,87377.304955104,87278.863495104,long,274.89599806081253,-0.44718669266713273,-0.162674864611236,take_profit,0.41234399709121883,1.0,0.0,0.0
PAPER_20260213_133204_12,2025-12-30 12:00:00,2025-12-30 13:00:00,87935.51607042272,88021.90959042273,long,389.57727946569713,0.18873201868527423,0.048445335144831604,take_profit,0.5843659191985457,1.0,0.0,0.0
PAPER_20260213_133207_13,2025-12-30 14:00:00,2025-12-30 15:00:00,88786.95382002591,88927.33330002592,long,349.97409245965855,0.3792563892919504,0.1083669898610187,take_profit,0.5249611386894878,1.0,0.0,0.0
PAPER_20260213_133208_14,2025-12-30 15:00:00,2025-12-30 16:00:00,88927.3333283079,88653.8870483079,long,321.69211462656426,-1.1506972411269167,-0.3577014134967845,take_profit,0.4825381719398464,1.0,0.0,0.0
PAPER_20260213_133209_15,2025-12-31 23:00:00,2026-01-01 00:00:00,87560.57138001184,87721.42037001184,long,399.9881578865452,0.5359229061370534,0.13398469318910824,take_profit,0.5999822368298178,1.0,0.0,0.0
PAPER_20260213_133212_16,2026-01-01 17:00:00,2026-01-01 18:00:00,88228.05315624477,88105.74558624478,long,473.7552265826533,-0.8938091141772346,-0.18866475007031866,take_profit,0.71063283987398,1.0,0.0,0.0
PAPER_20260213_133215_17,2026-01-03 21:00:00,2026-01-03 22:00:00,90473.74521743144,90499.44948743144,long,472.5685573252448,-0.10141409792304157,-0.02146018738467262,take_profit,0.7088528359878672,1.0,0.0,0.0
PAPER_20260213_133218_18,2026-01-04 00:00:00,2026-01-04 01:00:00,91250.12810164652,91144.13420164652,long,428.35347693414496,-0.7118088485905891,-0.16617323937352388,take_profit,0.6425302154012175,1.0,0.0,0.0
PAPER_20260213_133219_19,2026-01-04 01:00:00,2026-01-04 02:00:00,91144.13421289242,91032.87558289242,long,417.10757900340286,-0.717802600271904,-0.1720905196656827,take_profit,0.6256613685051043,1.0,0.0,0.0
PAPER_20260213_133221_20,2026-01-04 02:00:00,2026-01-04 03:00:00,91032.87557160237,91145.54279160236,long,428.39763229136685,0.3169708923810477,0.07398987960920048,take_profit,0.6425964484370503,1.0,0.0,0.0
PAPER_20260213_133223_21,2026-01-04 03:00:00,2026-01-04 04:00:00,91145.54278388781,91308.59956388781,long,436.11218858162306,0.5633558003643754,0.12917680704971568,take_profit,0.6541682828724346,1.0,0.0,0.0
PAPER_20260213_133226_22,2026-01-04 04:00:00,2026-01-04 05:00:00,91308.59956821083,91388.55952821083,long,431.78916516227133,0.1630407762046433,0.03775934862639981,take_profit,0.647683747743407,1.0,0.0,0.0
PAPER_20260213_133228_23,2026-01-04 05:00:00,2026-01-04 06:00:00,91388.559508881,91146.311998881,long,451.11899381810144,-1.4221028421935729,-0.315238963927772,take_profit,0.6766784907271521,1.0,0.0,0.0
PAPER_20260213_133230_24,2026-01-05 01:00:00,2026-01-05 02:00:00,92874.31233333137,92940.07650333138,long,386.6686304027383,0.08112793912895033,0.02098125701183744,take_profit,0.5800029456041075,1.0,0.0,0.0
PAPER_20260213_133232_25,2026-01-05 02:00:00,2026-01-05 03:00:00,92940.0765058395,92785.34139583951,long,384.1604946605192,-0.8319197426399968,-0.21655525599402417,take_profit,0.5762407419907788,1.0,0.0,0.0
PAPER_20260213_133234_26,2026-01-07 17:00:00,2026-01-07 18:00:00,91160.88760512222,90901.39,long,254.877785850196,-0.9166907114886749,-0.3596589276820924,take_profit,0.191158339387647,1.0,0.0,0.0
PAPER_20260213_133237_27,2026-01-07 18:00:00,2026-01-07 19:00:00,90810.48836035428,91094.8836803543,long,249.6457088833071,0.658037112680695,0.2635883931769418,take_profit,0.37446856332496065,1.0,0.0,0.0
PAPER_20260213_133238_28,2026-01-11 08:00:00,2026-01-11 09:00:00,90699.2195232975,90649.27951329752,long,466.7024911673137,-0.49011053968764345,-0.10501562536376903,take_profit,0.7000537367509706,1.0,0.0,0.0
PAPER_20260213_133239_29,2026-01-13 19:00:00,2026-01-13 20:00:00,94132.61289579263,94314.29103579262,long,264.2073746170954,0.37859836345084197,0.14329591064576777,take_profit,0.39631106192564314,1.0,0.0,0.0
PAPER_20260213_133239_30,2026-01-13 20:00:00,2026-01-13 21:00:00,94314.29102866483,93993.14249866482,long,271.335174401506,-1.0602403901800106,-0.39074933521561367,take_profit,0.40700276160225896,1.0,0.0,0.0
PAPER_20260213_133242_31,2026-01-13 22:00:00,2026-01-13 23:00:00,95661.4525643481,95318.58577434809,long,225.65191204175196,-0.9221836637406072,-0.408675315620626,take_profit,0.3384778680626279,1.0,0.0,0.0
PAPER_20260213_133243_32,2026-01-13 23:00:00,2026-01-14 00:00:00,95318.58578371057,95141.60294371058,long,216.28942050716293,-0.5099252188029451,-0.23576059226903226,take_profit,0.3244341307607444,1.0,0.0,0.0
PAPER_20260213_133245_33,2026-01-14 21:00:00,2026-01-14 22:00:00,97466.43576804685,96781.46142804685,long,231.9531488911029,-1.7474952678553193,-0.7533828603791585,take_profit,0.34792972333665434,1.0,0.0,0.0
PAPER_20260213_133248_34,2026-01-16 15:00:00,2026-01-16 16:00:00,94491.39370890528,94777.67713890527,long,311.09471986131916,0.7882416185772392,0.25337672684660933,take_profit,0.46664207979197875,1.0,0.0,0.0
PAPER_20260213_133250_35,2026-01-17 07:00:00,2026-01-17 08:00:00,95006.56786809837,95152.26202809837,long,461.9016274269275,0.4785567081258474,0.10360576358903492,take_profit,0.6928524411403912,1.0,0.0,0.0
PAPER_20260213_133252_36,2026-01-19 01:00:00,2026-01-19 02:00:00,92494.06300073591,92474.23285073593,long,349.26407342422925,-0.24923609599653146,-0.07136035881188385,take_profit,0.5238961101363439,1.0,0.0,0.0
PAPER_20260213_133256_37,2026-01-19 02:00:00,2026-01-19 03:00:00,92474.23284276482,92597.39955276481,long,357.235190475522,0.2980202869244558,0.08342411242513811,take_profit,0.535852785713283,1.0,0.0,0.0
PAPER_20260213_133257_38,2026-01-19 03:00:00,2026-01-19 04:00:00,92597.39954335474,92572.33463335474,long,366.64526021136055,-0.2822996065494834,-0.0769952968672623,take_profit,0.5499678903170409,1.0,0.0,0.0
PAPER_20260213_133259_39,2026-01-19 04:00:00,2026-01-19 05:00:00,92572.33462311156,92419.25785311154,long,376.8884514326937,-0.8119085802960195,-0.2154241068437231,take_profit,0.5653326771490406,1.0,0.0,0.0
PAPER_20260213_133302_40,2026-01-19 05:00:00,2026-01-19 06:00:00,92419.25784835545,92490.68634835546,long,381.64454884194527,0.10481997903631812,0.02746534159976392,take_profit,0.5724668232629179,1.0,0.0,0.0
PAPER_20260213_133303_41,2026-01-19 06:00:00,2026-01-19 07:00:00,92490.68633767043,92748.77798767042,long,392.32957930222506,0.9001058518525941,0.22942594679031614,take_profit,0.5884943689533376,1.0,0.0,0.0
PAPER_20260213_133305_42,2026-01-19 07:00:00,2026-01-19 08:00:00,92748.77797997951,93165.83050997951,long,400.02047896326354,1.600917510903956,0.40020888806819777,take_profit,0.6000307184448953,1.0,0.0,0.0
PAPER_20260213_133309_43,2026-01-20 04:00:00,2026-01-20 05:00:00,91970.54699070015,91532.55542070016,long,399.2998426301211,-2.1027386333625575,-0.5266064267674565,take_profit,0.5989497639451816,1.0,0.0,0.0
PAPER_20260213_133311_44,2026-01-20 05:00:00,2026-01-20 06:00:00,91532.55545379003,90839.04965379005,long,366.209957211424,-2.960141663587318,-0.8083181806764308,take_profit,0.549314935817136,1.0,0.0,0.0
PAPER_20260213_133312_45,2026-01-20 06:00:00,2026-01-20 07:00:00,90839.0496856612,91086.80168566121,long,334.33879888032766,0.745946003284302,0.22311081028657517,take_profit,0.5015081983204915,1.0,0.0,0.0
PAPER_20260213_133314_46,2026-01-20 07:00:00,2026-01-20 08:00:00,91086.80168554472,91024.88366554472,long,334.4552786680715,-0.394471662177233,-0.11794451675218572,take_profit,0.5016829180021073,1.0,0.0,0.0
PAPER_20260213_133315_47,2026-01-20 09:00:00,2026-01-20 10:00:00,90945.21341079524,91178.31008079524,long,339.20475769548125,0.7010057405647143,0.20666152955143316,take_profit,0.5088071365432218,1.0,0.0,0.0
PAPER_20260213_133318_48,2026-01-20 21:00:00,2026-01-20 22:00:00,89386.53372486027,88420.67055486028,long,265.13971280240514,-3.0001296982982693,-1.1315278524624903,take_profit,0.3977095692036077,1.0,0.0,0.0
PAPER_20260213_133320_49,2026-01-20 23:00:00,2026-01-21 00:00:00,88339.2321157534,88847.07376575339,long,224.24660699038225,1.1785336319613677,0.52555249231125,take_profit,0.33636991048557335,1.0,0.0,0.0
PAPER_20260213_133322_50,2026-01-25 07:00:00,2026-01-25 08:00:00,88571.32955551278,88211.70953551277,long,454.48722099316296,-2.0739564128932795,-0.4563288728693384,take_profit,0.6817308314897444,1.0,0.0,0.0
PAPER_20260213_133323_51,2026-01-25 08:00:00,2026-01-25 09:00:00,88211.70953780685,88309.98116780687,long,452.19314025595673,0.278625226810162,0.06161642050838069,take_profit,0.6782897103839352,1.0,0.0,0.0
PAPER_20260213_133324_52,2026-01-25 20:00:00,2026-01-25 21:00:00,86567.95508432345,86481.93119432345,long,305.67654705528196,-0.45659069124103285,-0.14937053419360233,take_profit,0.4585148205829229,1.0,0.0,0.0
