entry_efficiency_threshold,stop_loss_atr_multiple,min_trade_value,mean_return_pct,mean_drawdown_pct,mean_trades,folds,stability_score
0.55,2.5,150.0,0.2813539706936097,0.0,1.0,4,281353970.69360965
0.55,2.5,50.0,0.2734972121112511,0.0,1.0,4,273497212.1112511
0.55,2.5,100.0,0.2694332008471578,0.0,1.0,4,269433200.84715784
0.55,3.0,25.0,0.22452763481237703,0.0,1.0,4,224527634.812377
0.55,3.0,50.0,0.22452763481237703,0.0,1.0,4,224527634.812377
0.55,3.0,150.0,0.22452763481237703,0.0,1.0,4,224527634.812377
0.55,3.0,100.0,0.2165154829132543,0.0,1.0,4,216515482.91325426
0.55,3.5,150.0,0.2046731509710853,0.0,1.0,4,204673150.97108528
0.55,3.5,25.0,0.19245223847577098,0.0,1.0,4,192452238.47577095
0.55,3.5,100.0,0.19245223847577098,0.0,1.0,4,192452238.47577095
0.55,3.5,50.0,0.18404048758946523,0.0,1.0,4,184040487.58946523
0.55,4.0,25.0,0.16839569558406708,0.0,1.0,4,168395695.58406708
0.55,4.0,50.0,0.16839569558406708,0.0,1.0,4,168395695.58406708
0.55,4.0,150.0,0.16839569558406708,0.0,1.0,4,168395695.58406708
0.55,2.5,25.0,0.1924077875615049,0.009667113073862766,1.0,4,19.903332689713775
0.55,4.0,100.0,0.11199393970263705,0.009667113073862766,1.0,4,11.585043772829582
0.65,2.5,100.0,0.20163141774914017,0.024751673301324217,1.0,4,8.146172872772201
0.65,3.5,100.0,-0.016098554491633665,0.024243941417771,1.0,4,-0.6640237884673946
0.65,3.5,25.0,-0.020855952295451008,0.029001339221588297,1.0,4,-0.7191375342000937
0.6,2.5,50.0,-0.028269710670278392,0.02826971067027842,1.0,4,-0.9999999646264511
0.6,3.0,50.0,-0.030042891080503398,0.030042891080501025,1.0,4,-0.9999999667143356
0.6,3.5,150.0,-0.03246433667142834,0.032464336671426966,1.0,4,-0.9999999691970113
0.65,2.5,150.0,-0.03308096115971215,0.03308096115970898,1.0,4,-0.9999999697712291
0.65,2.5,25.0,-0.03376365871893272,0.03376365871893086,1.0,4,-0.9999999703824127
0.65,3.0,150.0,-0.035797082403060676,0.035797082403061606,1.0,4,-0.9999999720647372
0.6,3.5,50.0,-0.03601369600506055,0.03601369600505962,1.0,4,-0.9999999722328127
0.6,3.5,100.0,-0.03607214027347705,0.036072140273475384,1.0,4,-0.9999999722778217
0.65,3.0,100.0,-0.0372768151395475,0.03727681513954622,1.0,4,-0.999999973173709
0.65,3.5,50.0,-0.03731801943770152,0.037318019437699954,1.0,4,-0.9999999732033367
0.65,3.0,25.0,-0.0375005977711701,0.037500597771168036,1.0,4,-0.9999999733338141
0.6,2.5,25.0,-0.0375105712698498,0.037510571269848476,1.0,4,-0.9999999733408846
0.65,4.0,25.0,-0.0375119966094184,0.03751199660941609,1.0,4,-0.9999999733419237
0.6,3.0,25.0,-0.037691593661612344,0.03769159366161148,1.0,4,-0.9999999734689087
0.65,3.0,50.0,-0.037778793251652676,0.03777879325164975,1.0,4,-0.9999999735302015
0.6,2.5,100.0,-0.0386684522954539,0.038668452295451065,1.0,4,-0.9999999741391994
0.6,2.5,150.0,-0.0386684522954539,0.038668452295451065,1.0,4,-0.9999999741391994
0.6,3.0,100.0,-0.0386684522954539,0.038668452295451065,1.0,4,-0.9999999741391994
0.6,3.0,150.0,-0.0386684522954539,0.038668452295451065,1.0,4,-0.9999999741391994
0.6,3.5,25.0,-0.0386684522954539,0.038668452295451065,1.0,4,-0.9999999741391994
0.6,4.0,25.0,-0.0386684522954539,0.038668452295451065,1.0,4,-0.9999999741391994
0.6,4.0,50.0,-0.0386684522954539,0.038668452295451065,1.0,4,-0.9999999741391994
0.6,4.0,100.0,-0.0386684522954539,0.038668452295451065,1.0,4,-0.9999999741391994
0.6,4.0,150.0,-0.0386684522954539,0.038668452295451065,1.0,4,-0.9999999741391994
0.65,2.5,50.0,-0.0386684522954539,0.038668452295451065,1.0,4,-0.9999999741391994
0.65,3.5,150.0,-0.0386684522954539,0.038668452295451065,1.0,4,-0.9999999741391994
0.65,4.0,50.0,-0.0386684522954539,0.038668452295451065,1.0,4,-0.9999999741391994
0.65,4.0,100.0,-0.0386684522954539,0.038668452295451065,1.0,4,-0.9999999741391994
0.65,4.0,150.0,-0.0386684522954539,0.038668452295451065,1.0,4,-0.9999999741391994
0.7,3.5,100.0,-0.05763793675320483,0.057637936753201294,1.0,4,-0.9999999826503775
0.7,4.0,50.0,-0.06028505852813393,0.06028505852813168,1.0,4,-0.9999999834121794
0.75,4.0,100.0,-0.06047757926451458,0.06047757926451424,1.0,4,-0.9999999834649526
0.75,4.0,50.0,-0.060592163631595364,0.06059216363159407,1.0,4,-0.9999999834962373
0.7,4.0,25.0,-0.061626697627015226,0.06162669762701398,1.0,4,-0.999999983773287
0.7,4.0,100.0,-0.061626697627015226,0.06162669762701398,1.0,4,-0.999999983773287
0.7,4.0,150.0,-0.061626697627015226,0.06162669762701398,1.0,4,-0.999999983773287
0.75,4.0,25.0,-0.061626697627015226,0.06162669762701398,1.0,4,-0.999999983773287
0.75,3.5,150.0,-0.06262568878123709,0.06262568878123317,1.0,4,-0.9999999840321745
0.75,3.5,50.0,-0.06857067457533006,0.06857067457532649,1.0,4,-0.9999999854165585
0.7,3.5,50.0,-0.07043047922062895,0.07043047922062441,1.0,4,-0.9999999858016663
0.7,3.5,150.0,-0.07043047922062895,0.07043047922062441,1.0,4,-0.9999999858016663
0.75,3.5,25.0,-0.07043047922062895,0.07043047922062441,1.0,4,-0.9999999858016663
0.75,3.5,100.0,-0.07043047922062895,0.07043047922062441,1.0,4,-0.9999999858016663
0.7,3.0,50.0,-0.07987752329280395,0.0798775232928051,1.0,4,-0.9999999874808194
0.7,3.0,100.0,-0.08216884209701902,0.08216884209701902,1.0,4,-0.9999999878299369
0.7,3.0,150.0,-0.08216884209701902,0.08216884209701902,1.0,4,-0.9999999878299369
0.75,3.0,25.0,-0.08216884209701902,0.08216884209701902,1.0,4,-0.9999999878299369
0.75,3.0,50.0,-0.08216884209701902,0.08216884209701902,1.0,4,-0.9999999878299369
0.75,3.0,100.0,-0.08216884209701902,0.08216884209701902,1.0,4,-0.9999999878299369
0.75,3.0,150.0,-0.08216884209701902,0.08216884209701902,1.0,4,-0.9999999878299369
0.7,2.5,25.0,-0.08896196186381489,0.08896196186381075,1.0,4,-0.9999999887592873
0.7,2.5,150.0,-0.09005228925178799,0.09005228925178414,1.0,4,-0.9999999888953834
0.75,4.0,150.0,-0.09059478095491402,0.0905947809549133,1.0,4,-0.9999999889618446
0.75,2.5,150.0,-0.09183451572963575,0.09183451572963293,1.0,4,-0.9999999891108788
0.7,2.5,100.0,-0.09467812079279603,0.09467812079279553,1.0,4,-0.999999989437903
