trade_id,entry_time,entry_price,entry_regime,exit_time,exit_price,exit_regime,exit_reason,size,side,pnl,pnl_percent,fees_paid,duration_hours,is_winner,mfe,mae
BT_0000,2025-07-10T17:00:00,113836.54281999999,trend,2025-07-11T09:00:00,118351.86966,no_trade,strategy_exit,227.50000000000387,long,8.682538237528442,3.8165003241882616,0.3412500000000058,16.0,True,5033.437180000008,850.9028199999884
BT_0001,2025-07-13T20:00:00,119202.68359999999,trend,2025-07-14T00:00:00,118942.33859999999,no_trade,strategy_exit,231.45055489807908,long,-0.8526761524333744,-0.3684053178480633,0.34717583234711863,4.0,False,267.8564000000042,959.0035999999964
BT_0002,2025-07-14T05:00:00,122584.45198999999,trend,2025-07-14T11:00:00,121345.77276,no_trade,strategy_exit,231.0625872487205,long,-2.681412228622406,-1.1604700962411014,0.34659388087308074,6.0,False,633.5480100000132,1228.901989999984
BT_0003,2025-07-15T03:00:00,117265.61846999999,trend,2025-07-15T14:00:00,115820.64979289666,chaos,stop_loss,222.85596339253604,long,-3.0803564155144234,-1.3822185274390515,0.33428394508880405,11.0,False,1225.0915300000197,1528.6984699999884
BT_0004,2025-07-25T03:00:00,115535.07965999999,trend,2025-07-25T04:00:00,115986.5973,trend,strategy_exit,228.44098251563943,long,0.5500988342497191,0.24080566813884127,0.3426614737734592,1.0,True,609.5503400000161,420.0796599999885
BT_0005,2025-07-31T04:00:00,118630.04152999999,trend,2025-07-31T11:00:00,118252.87875,range,strategy_exit,228.69127748522067,long,-1.0701195073290164,-0.4679319294974745,0.343036916227831,7.0,False,292.4084700000094,351.1315299999842
BT_0006,2025-08-01T01:00:00,115447.19185999999,trend,2025-08-01T08:00:00,114064.3628586,no_trade,stop_loss,228.20437310938672,long,-3.07574355624903,-1.3478021978021926,0.3423065596640801,7.0,False,604.8081400000083,1331.1918599999917
BT_0007,2025-08-07T04:00:00,114463.92958,trend,2025-08-07T05:00:00,114454.16127,trend,strategy_exit,226.8049097912918,long,-0.3595628129621502,-0.158533963525315,0.34020736468693774,1.0,False,104.81042000000889,185.90957999999227
BT_0008,2025-08-07T12:00:00,116506.38999999998,trend,2025-08-07T19:00:00,117344.51801999999,no_trade,strategy_exit,226.64130871139747,long,1.290458748796804,0.5693837350895551,0.3399619630670962,7.0,True,1013.6100000000151,874.0799999999872
BT_0009,2025-08-09T19:00:00,116652.22568999999,trend,2025-08-10T02:00:00,117200.67201000001,range,strategy_exit,227.22846744209838,long,0.7274833940375021,0.32015504141129547,0.3408427011631476,7.0,True,665.774310000008,292.3356899999926
BT_0010,2025-08-11T02:00:00,121997.87599999999,trend,2025-08-11T10:00:00,121063.65516,no_trade,strategy_exit,227.55947238638612,long,-2.0839170993845406,-0.9157681187826539,0.34133920857957917,8.0,False,337.2840000000142,1043.7459999999846
BT_0011,2025-08-14T00:00:00,123971.67782999999,trend,2025-08-14T03:00:00,123213.80286,chaos,strategy_exit,226.61129010616563,long,-1.7252577460368523,-0.7613291223171549,0.3399169351592484,3.0,False,0.0,721.177829999986
BT_0012,2025-08-14T10:00:00,121053.93299999999,trend,2025-08-14T12:00:00,119603.94632999999,trend,stop_loss,225.82629783171808,long,-3.0436918053912305,-1.3478021978021966,0.3387394467475771,2.0,False,129.12700000000768,3421.93299999999
BT_0013,2025-08-14T13:00:00,118547.27884999999,trend,2025-08-15T01:00:00,118562.95836,no_trade,strategy_exit,193.54070371528374,long,-0.2647126324901508,-0.13677362302018264,0.29031105557292564,12.0,False,814.1711500000092,1367.2788499999879
BT_0014,2025-08-18T02:00:00,115568.69324,trend,2025-08-18T11:00:00,114832.32273,trend,strategy_exit,224.3209738124834,long,-1.7657902575825908,-0.7871712696195174,0.3364814607187251,9.0,False,143.796760000012,928.5532399999938
BT_0015,2025-08-21T11:00:00,113261.80866,trend,2025-08-21T14:00:00,113168.70801,chaos,strategy_exit,223.51753924528137,long,-0.5190066274663382,-0.23219950846756418,0.33527630886792203,3.0,False,733.3013400000054,348.4186599999957
BT_0016,2025-08-22T20:00:00,117169.70264999998,trend,2025-08-23T00:00:00,116753.34978,chaos,strategy_exit,223.28139122978502,long,-1.1283340863084135,-0.505341748407154,0.3349220868446775,4.0,False,4.727350000015576,618.742649999971
BT_0017,2025-08-23T14:00:00,114736.09146999998,trend,2025-08-23T19:00:00,115018.77609,no_trade,strategy_exit,222.76799922051646,long,0.21469959965932023,0.09637811553300822,0.3341519988307747,5.0,True,454.6485300000204,176.09146999998484
BT_0018,2025-08-24T14:00:00,114628.56404999999,trend,2025-08-24T19:00:00,113255.54059050001,trend,stop_loss,222.86568753836198,long,-3.0037886347889797,-1.347802197802179,0.334298531307543,5.0,False,288.5359500000195,3948.5640499999863
