trade_id,entry_time,entry_price,entry_regime,exit_time,exit_price,exit_regime,exit_reason,size,side,pnl,pnl_percent,fees_paid,duration_hours,is_winner,mfe,mae
BT_0000,2025-07-10T21:00:00,116607.01052,trend,2025-07-11T00:00:00,115210.28918519999,trend,stop_loss,227.49999999999991,long,-3.0662500000000144,-1.3478021978022048,0.3412499999999999,3.0,False,0.0,1384.790519999995
BT_0001,2025-07-14T07:00:00,122858.77603999998,trend,2025-07-14T11:00:00,121387.17092039999,no_trade,stop_loss,226.10485625000098,long,-3.047446221874995,-1.3478021978021897,0.3391572843750015,4.0,False,0.0,1503.2260399999795
BT_0002,2025-07-15T06:00:00,117187.61053999998,trend,2025-07-15T14:00:00,115727.05856364756,chaos,stop_loss,215.2040054576179,long,-3.0049721010157913,-1.3963365108497425,0.32280600818642685,8.0,False,1303.0994600000267,1450.6905399999814
BT_0003,2025-08-01T01:00:00,115447.19185999999,trend,2025-08-01T08:00:00,114064.3628586,no_trade,stop_loss,223.35100591308648,long,-3.010329766509885,-1.3478021978021928,0.3350265088696297,7.0,False,604.8081400000083,1331.1918599999917
BT_0004,2025-08-07T13:00:00,116756.63999999998,trend,2025-08-07T22:00:00,117436.67577,chaos,strategy_exit,221.9813058693263,long,0.9599329094969189,0.4324386261886406,0.33297195880398944,9.0,True,864.3600000000151,1124.3299999999872
BT_0005,2025-08-11T06:00:00,122422.93062999999,trend,2025-08-11T10:00:00,120956.5460763,no_trade,stop_loss,222.41807534314515,long,-2.9977557077842354,-1.3478021978021872,0.3336271130147177,4.0,False,0.0,1468.8006299999834
BT_0006,2025-08-14T12:00:00,118985.23636999998,trend,2025-08-14T16:00:00,117425.00280417653,trend,stop_loss,200.3442692603623,long,-2.9275974028169047,-1.4612833267580387,0.30051640389054346,4.0,False,376.2136300000129,1578.1463699999877
BT_0007,2025-08-14T19:00:00,118063.86591999998,trend,2025-08-18T01:00:00,116454.01039852879,trend,stop_loss,190.9002706214816,long,-2.889364057192625,-1.513546339031481,0.28635040593222244,78.0,False,1152.954080000025,1897.8359199999832
BT_0008,2025-08-18T03:00:00,115434.31899999999,trend,2025-08-19T02:00:00,115631.33292,chaos,strategy_exit,218.40737903179917,long,0.04514890675897948,0.020671877918742844,0.3276110685476988,23.0,True,1545.6810000000114,794.1789999999892
BT_0009,2025-08-24T16:00:00,114389.275,trend,2025-08-24T19:00:00,113019.11775,trend,stop_loss,218.427921784374,long,-2.943976330423438,-1.3478021978021886,0.327641882676561,3.0,False,527.8250000000116,3709.274999999994
BT_0010,2025-09-08T14:00:00,112757.69505,trend,2025-09-09T00:00:00,111407.08090049999,no_trade,stop_loss,217.0884125540306,long,-2.9259223955771363,-1.3478021978022021,0.32563261883104594,10.0,False,166.67495000000054,1297.8250499999995
BT_0011,2025-09-10T12:00:00,113526.92350999998,trend,2025-09-11T00:00:00,113771.8143,chaos,strategy_exit,215.7571178640455,long,0.14177754333051523,0.06571164128168099,0.32363567679606825,12.0,True,786.206490000026,371.89350999997987
BT_0012,2025-09-16T23:00:00,116905.74896,trend,2025-09-17T14:00:00,115505.44932960001,chaos,stop_loss,215.82162664626054,long,-2.908848627270721,-1.3478021978021828,0.32373243996939083,15.0,False,380.98103999999876,1473.7489599999972
BT_0013,2025-09-17T18:00:00,115342.15692999998,trend,2025-09-18T00:00:00,116234.29935,chaos,strategy_exit,214.49810052085164,long,1.3373414216668345,0.6234747153561995,0.32174715078127747,6.0,True,1648.5230700000102,273.8269299999811
BT_0014,2025-09-25T06:00:00,111644.79325999998,trend,2025-09-25T16:00:00,110846.33270999999,chaos,strategy_exit,215.10659086771247,long,-1.86105788801467,-0.8651793887427626,0.3226598863015687,10.0,False,601.6667400000297,1014.8032599999715
BT_0015,2025-09-28T22:00:00,112050.44850999999,trend,2025-09-30T16:00:00,112728.39876000001,chaos,strategy_exit,214.25980952866303,long,0.9749682509493395,0.45504019306939186,0.32138971429299457,42.0,True,2741.5514900000126,489.79850999999326
BT_0016,2025-10-05T04:00:00,125297.98280999999,trend,2025-10-05T09:00:00,123797.16081809999,chaos,stop_loss,214.70342008284413,long,-2.8937774146330533,-1.3478021978021952,0.32205513012426623,5.0,False,139.9271900000167,2508.632809999981
BT_0017,2025-10-14T07:00:00,111836.13440999998,trend,2025-10-14T10:00:00,110413.26513309494,trend,stop_loss,199.82969444630803,long,-2.8421386823556176,-1.4222804524776311,0.299744541669462,3.0,False,303.8655900000158,1823.894409999979
BT_0018,2025-10-26T13:00:00,113825.24152999998,trend,2025-10-27T16:00:00,115382.07243,chaos,strategy_exit,212.0935782587153,long,2.5827437588952256,1.217737840107894,0.31814036738807294,27.0,True,2574.758470000015,924.2415299999848
BT_0019,2025-11-03T09:00:00,107305.13793999999,trend,2025-11-03T15:00:00,106019.83463940001,no_trade,stop_loss,213.26872666901465,long,-2.874440585269692,-1.3478021978021746,0.31990309000352196,6.0,False,1027.862060000014,1794.137939999986
BT_0020,2025-11-10T00:00:00,106421.27496,trend,2025-11-10T14:00:00,105061.77408784375,no_trade,stop_loss,197.6193924799105,long,-2.8209594190735228,-1.4274709499272924,0.29642908871986573,14.0,False,248.8350400000054,1739.374960000001
BT_0021,2025-11-27T00:00:00,90576.33585,trend,2025-12-01T00:00:00,89382.52437439242,trend,stop_loss,189.88407436872845,long,-2.787530431497289,-1.4680169681235578,0.2848261115530927,96.0,False,2515.664149999997,3616.345849999998
BT_0022,2025-12-01T05:00:00,86087.08107999999,trend,2025-12-01T12:00:00,84942.54818451943,chaos,stop_loss,186.97725417039686,long,-2.766339666496134,-1.4795059852441208,0.2804658812555953,7.0,False,850.9289200000057,1331.081079999989
BT_0023,2025-12-08T10:00:00,92225.53339999999,trend,2025-12-08T14:00:00,91111.50836184475,no_trade,stop_loss,206.24652655224486,long,-2.800694980816623,-1.3579355869089855,0.30936978982836727,4.0,False,0.0,1435.5333999999857
BT_0024,2025-12-14T17:00:00,88899.48066999999,trend,2025-12-14T23:00:00,87834.64073669999,trend,stop_loss,206.8759925561773,long,-2.7882791743972644,-1.3478021978021957,0.310313988834266,6.0,False,173.6993300000031,1322.1206699999893
BT_0025,2025-12-15T10:00:00,89948.80894999999,trend,2025-12-15T14:00:00,88871.4001395,trend,stop_loss,205.6073255318264,long,-2.7711800523602697,-1.347802197802195,0.3084109882977396,4.0,False,0.0,2108.8089499999915
BT_0026,2025-12-22T12:00:00,90298.68847999998,trend,2025-12-22T15:00:00,89217.0888048,no_trade,stop_loss,204.3464386080051,long,-2.7541857906891605,-1.347802197802173,0.30651965791200764,3.0,False,156.05152000002272,1102.2684799999843
BT_0027,2025-12-29T04:00:00,90233.20305999999,trend,2025-12-29T09:00:00,89152.38777059999,chaos,stop_loss,203.0932840732392,long,-2.7372957463277663,-1.3478021978021915,0.3046399261098588,5.0,False,66.86694000002171,2463.1030599999795
BT_0028,2025-12-29T15:00:00,87779.31161999998,trend,2025-12-29T22:00:00,87263.69895,chaos,strategy_exit,201.847814508661,long,-1.488418870865914,-0.7373965749834999,0.3027717217629915,7.0,False,216.9083800000226,707.8216199999733
BT_0029,2025-12-30T14:00:00,88964.70582999999,trend,2025-12-30T19:00:00,87899.0846283,chaos,stop_loss,201.17058392241677,long,-2.711381551437831,-1.3478021978021895,0.3017558758836252,5.0,False,435.2941700000083,1004.5058299999946
BT_0030,2026-01-04T00:00:00,91432.81146999999,trend,2026-01-05T12:00:00,92781.40572,chaos,strategy_exit,199.93690531651498,long,2.649077141170164,1.3249565591587398,0.29990535797477247,36.0,True,1955.188530000014,569.3414699999848
BT_0031,2026-01-13T22:00:00,95852.96721,trend,2026-01-14T06:00:00,94624.20920764255,chaos,stop_loss,186.82690646063736,long,-2.6752111472540796,-1.4319196297444026,0.28024035969095606,8.0,False,255.00278999999864,1293.6872100000037
BT_0032,2026-01-19T04:00:00,92757.665,trend,2026-01-20T05:00:00,91646.61165,trend,stop_loss,199.92501434374498,long,-2.694593737281327,-1.3478021978021841,0.2998875215156175,25.0,False,662.3350000000064,1463.554999999993
BT_0033,2026-01-20T06:00:00,91020.90997999998,trend,2026-01-20T15:00:00,89930.65951979998,no_trade,stop_loss,198.69897419328075,long,-2.678069141187454,-1.347802197802195,0.29804846128992113,9.0,False,421.9700200000225,1161.8499799999845
BT_0034,2026-01-20T23:00:00,88516.08765999999,trend,2026-01-21T05:00:00,89860.08996,chaos,strategy_exit,186.55078296995757,long,2.552706170868393,1.3683706550186308,0.27982617445493635,6.0,True,1604.3523400000122,266.08765999999014
