trade_id,entry_time,entry_price,entry_regime,exit_time,exit_price,exit_regime,exit_reason,size,side,pnl,pnl_percent,fees_paid,duration_hours,is_winner,mfe,mae
BT_0000,2025-07-07T17:00:00,108051.09314999999,trend,2025-07-07T22:00:00,107911.21076999999,chaos,strategy_exit,227.50000000000037,long,-0.6357703099965035,-0.27945947692153955,0.34125000000000055,5.0,False,263.6268500000151,537.893149999989
BT_0001,2025-07-08T12:00:00,109058.13918999999,trend,2025-07-08T14:00:00,108267.624,chaos,strategy_exit,227.2107245089529,long,-1.9877681656202821,-0.8748566644097634,0.34081608676342934,2.0,False,158.42081000001053,808.1391899999871
BT_0002,2025-07-09T19:00:00,111861.74999999999,trend,2025-07-09T20:00:00,110521.8675,chaos,stop_loss,226.306289993597,long,-3.0501611502983006,-1.3478021978021912,0.3394594349903955,1.0,False,90.5800000000163,1302.3499999999913
BT_0003,2025-07-10T17:00:00,113836.54281999999,trend,2025-07-11T08:00:00,117846.79523999999,no_trade,strategy_exit,224.9184666702124,long,7.5860869706772185,3.3728164178712583,0.33737770000531864,15.0,True,4567.677180000013,850.9028199999884
BT_0004,2025-07-13T19:00:00,119080.04108,trend,2025-07-13T23:00:00,118967.55336,no_trade,strategy_exit,228.3701362418687,long,-0.5582826739618161,-0.24446395800654702,0.34255520436280307,4.0,False,287.3289199999999,836.3610800000024
BT_0005,2025-07-14T04:00:00,121521.39999999998,trend,2025-07-14T11:00:00,121345.77276,no_trade,strategy_exit,228.11611762521756,long,-0.6718560607645874,-0.2945237135187486,0.3421741764378263,7.0,False,1696.6000000000204,392.3999999999796
BT_0006,2025-07-15T03:00:00,117265.61846999999,trend,2025-07-15T13:00:00,117970.04187,no_trade,strategy_exit,220.8856127327202,long,0.9955480888014472,0.4507075297865132,0.33132841909908034,10.0,True,1225.0915300000197,1015.6184699999867
BT_0007,2025-07-18T20:00:00,117522.40499999998,trend,2025-07-18T23:00:00,117806.91515999999,no_trade,strategy_exit,228.2633974979731,long,0.21020809243262134,0.09209014442820948,0.3423950962469597,3.0,True,499.21500000001106,154.39499999998952
BT_0008,2025-07-23T09:00:00,118158.04,trend,2025-07-23T12:00:00,117862.7193,no_trade,strategy_exit,228.35904218002986,long,-0.9132923789895266,-0.39993703348498044,0.3425385632700448,3.0,False,496.9600000000064,358.16999999999825
BT_0009,2025-07-25T03:00:00,115535.07965999999,trend,2025-07-25T10:00:00,116192.17151999999,chaos,strategy_exit,227.94349414759097,long,0.9544859469295732,0.4187379642042136,0.34191524122138645,7.0,True,952.4203400000115,811.919659999985
BT_0010,2025-07-27T17:00:00,119315.88668999998,trend,2025-07-27T21:00:00,119146.49424,no_trade,strategy_exit,228.3777852534436,long,-0.6667940179506598,-0.2919697365532647,0.34256667788016537,4.0,False,56.98331000001053,602.1466899999796
BT_0011,2025-07-31T04:00:00,118630.04152999999,trend,2025-07-31T10:00:00,118386.51498,range,strategy_exit,228.07439397527398,long,-0.8103080915439962,-0.3552823609088898,0.342111590962911,6.0,False,292.4084700000094,342.41152999998303
BT_0012,2025-07-31T22:00:00,116126.6106,trend,2025-08-01T00:00:00,114735.64350600001,trend,stop_loss,227.7057037936215,long,-3.069022480251378,-1.3478021978021912,0.34155855569043225,2.0,False,236.37940000000526,1813.4805999999953
BT_0013,2025-08-01T01:00:00,115447.19185999999,trend,2025-08-01T07:00:00,114966.68823,no_trade,strategy_exit,226.3092985651078,long,-1.2813875902620706,-0.5662107559815636,0.3394639478476617,6.0,False,604.8081400000083,814.0118599999987
BT_0014,2025-08-04T00:00:00,115014.76986999999,trend,2025-08-04T03:00:00,114456.03939,no_trade,strategy_exit,225.7262672115385,long,-1.4351454846164564,-0.6357901994948224,0.33858940081730776,3.0,False,0.0,596.0898699999962
BT_0015,2025-08-07T04:00:00,114463.92958,trend,2025-08-07T08:00:00,114833.79126,range,strategy_exit,225.0732760160365,long,0.3896583205704417,0.17312509395503645,0.3376099140240547,4.0,True,716.0604200000089,185.90957999999227
BT_0016,2025-08-07T11:00:00,116636.04952999999,trend,2025-08-07T18:00:00,116444.48895,no_trade,strategy_exit,225.25057055189632,long,-0.7078226271230399,-0.3142378842321121,0.33787585582784446,7.0,False,155.06047000001126,1003.7395299999916
BT_0017,2025-08-09T19:00:00,116652.22568999999,trend,2025-08-10T01:00:00,116459.84358,range,strategy_exit,224.92851125655687,long,-0.7083434396108572,-0.31491936511459406,0.3373927668848353,6.0,False,368.93431000001146,292.3356899999926
BT_0018,2025-08-11T02:00:00,121997.87599999999,trend,2025-08-11T10:00:00,121063.65516,no_trade,strategy_exit,224.60621499153453,long,-2.0568721096968985,-0.9157681187826536,0.3369093224873018,8.0,False,337.2840000000142,1043.7459999999846
BT_0019,2025-08-14T00:00:00,123971.67782999999,trend,2025-08-14T04:00:00,122880.16683,chaos,strategy_exit,223.67033818162196,long,-2.3048152623097042,-1.0304519057141037,0.33550550727243295,4.0,False,0.0,970.2178299999796
BT_0020,2025-08-14T10:00:00,121053.93299999999,trend,2025-08-14T12:00:00,119603.94632999999,trend,stop_loss,222.62164723727028,long,-3.0004994542473815,-1.3478021978021963,0.33393247085590544,2.0,False,129.12700000000768,3421.93299999999
BT_0021,2025-08-14T13:00:00,118547.27884999999,trend,2025-08-15T00:00:00,118063.78803,no_trade,strategy_exit,190.79421078170517,long,-1.0643386538168071,-0.557846409205024,0.2861913161725578,11.0,False,814.1711500000092,1367.2788499999879
BT_0022,2025-08-15T15:00:00,117392.49521999998,trend,2025-08-15T20:00:00,117162.72,no_trade,strategy_exit,220.7721458981024,long,-0.7632809733600163,-0.345732461065224,0.3311582188471536,5.0,False,489.8547800000233,588.5052199999773
BT_0023,2025-08-18T01:00:00,116385.80953999999,trend,2025-08-18T03:00:00,114991.7377554,trend,stop_loss,220.42485305522246,long,-2.970891013980534,-1.347802197802189,0.3306372795828337,2.0,False,0.0,1385.8095399999875
BT_0024,2025-08-18T04:00:00,115584.97950999998,trend,2025-08-18T11:00:00,114832.32273,trend,strategy_exit,219.07309764386352,long,-1.755151857713799,-0.8011717899598352,0.32860964646579527,7.0,False,127.51049000002968,944.8395099999761
BT_0025,2025-08-19T18:00:00,113182.67960999999,trend,2025-08-20T01:00:00,112883.93307,chaos,strategy_exit,218.27450354860127,long,-0.9035489605035382,-0.4139507573326597,0.3274117553229019,7.0,False,406.800390000004,616.6696099999972
BT_0026,2025-08-21T11:00:00,113261.80866,trend,2025-08-21T14:00:00,113168.70801,chaos,strategy_exit,217.8633887715716,long,-0.5058777178583677,-0.23219950846756418,0.3267950831573574,3.0,False,733.3013400000054,348.4186599999957
BT_0027,2025-08-22T20:00:00,117169.70264999998,trend,2025-08-23T00:00:00,116753.34978,chaos,strategy_exit,217.63321440994685,long,-1.0997914908139155,-0.505341748407154,0.32644982161492025,4.0,False,4.727350000015576,618.742649999971
BT_0028,2025-08-23T14:00:00,114736.09146999998,trend,2025-08-23T18:00:00,115030.62423,no_trade,strategy_exit,217.13280928162828,long,0.23169057323966308,0.10670454364137705,0.32569921392244244,4.0,True,454.6485300000204,176.09146999998484
BT_0029,2025-08-24T11:00:00,114844.95021999998,trend,2025-08-24T19:00:00,113469.3348822,trend,stop_loss,217.23822849245096,long,-2.9279416180877904,-1.3478021978021868,0.32585734273867645,8.0,False,72.14978000002156,4164.950219999984
BT_0030,2025-08-24T20:00:00,112883.16038999999,trend,2025-08-24T23:00:00,113380.09641,chaos,strategy_exit,215.90601505621936,long,0.6266058248332862,0.29022156917218145,0.323859022584329,3.0,True,809.8096100000112,514.0003899999865
BT_0031,2025-08-27T17:00:00,112457.63528999998,trend,2025-08-27T20:00:00,111110.61526289998,trend,stop_loss,216.1911207065205,long,-2.9138286763356716,-1.3478021978021912,0.32428668105978076,3.0,False,142.36471000002348,1535.845289999983
BT_0032,2025-08-29T08:00:00,109737.64802,trend,2025-08-29T13:00:00,108997.03386,no_trade,strategy_exit,214.86532865878848,long,-1.7724138626918022,-0.8248952372890462,0.32229799298818274,5.0,False,1779.4219800000137,837.6480199999933
BT_0033,2025-08-30T11:00:00,108788.69000999998,trend,2025-08-30T15:00:00,108761.11002,no_trade,strategy_exit,214.05888035126256,long,-0.3753562943296198,-0.17535189089734293,0.32108832052689384,4.0,False,137.45999000001757,598.1700099999725
BT_0034,2025-09-01T04:00:00,107516.5091,trend,2025-09-01T07:00:00,109323.55701,no_trade,strategy_exit,213.88809323734253,long,3.2740207352400468,1.5307166872571092,0.3208321398560138,3.0,True,1916.4809000000096,261.50909999999567
BT_0035,2025-09-02T07:00:00,110344.15391999998,trend,2025-09-02T12:00:00,109022.44921919999,no_trade,stop_loss,215.37777267187738,long,-2.9028663536489727,-1.3478021978021921,0.32306665900781606,5.0,False,366.94608000002336,1950.763919999983
BT_0036,2025-09-04T05:00:00,110763.72307,trend,2025-09-04T11:00:00,110699.19,no_trade,strategy_exit,214.05696848096665,long,-0.4457991491203874,-0.20826191844346642,0.32108545272144995,6.0,False,391.2069300000003,484.0430699999997
BT_0037,2025-09-08T10:00:00,112160.04799999998,trend,2025-09-08T19:00:00,111985.21269,no_trade,strategy_exit,213.85412986811897,long,-0.6541374455971911,-0.3058802025476847,0.3207811948021785,9.0,False,764.3220000000147,405.737999999983
BT_0038,2025-09-09T16:00:00,111086.96599,trend,2025-09-09T21:00:00,111188.31039,chaos,strategy_exit,213.55649733036884,long,-0.12550761308063973,-0.058770215212174626,0.3203347459955533,5.0,False,658.7240100000054,188.68598999999813
BT_0039,2025-09-10T10:00:00,112382.28000999999,trend,2025-09-10T23:00:00,113846.04,chaos,strategy_exit,213.4993913664174,long,2.460543996554894,1.1524829091114346,0.3202490870496261,13.0,True,1930.849990000017,233.79000999998243
BT_0040,2025-09-12T18:00:00,116602.66617999999,trend,2025-09-12T21:00:00,115750.02411,no_trade,strategy_exit,214.61893888485042,long,-1.8913019253058017,-0.8812371988851098,0.32192840832727565,3.0,False,62.96382000001904,849.9861799999926
BT_0041,2025-09-16T20:00:00,116956.30947,trend,2025-09-17T04:00:00,116197.17651,no_trade,strategy_exit,213.7583965088355,long,-1.7080877032862731,-0.799073969108704,0.32063759476325326,8.0,False,120.85053000001062,796.0894699999917
BT_0042,2025-09-17T16:00:00,115756.41076999999,trend,2025-09-17T20:00:00,115505.84853,chaos,strategy_exit,212.98121660384297,long,-0.7804834471148663,-0.3664564695236056,0.3194718249057645,4.0,False,576.9192300000141,1035.60076999999
BT_0043,2025-09-18T03:00:00,117699.24165999999,trend,2025-09-18T08:00:00,117112.36041,chaos,strategy_exit,212.6260966354044,long,-1.3791521728031713,-0.6486278940482268,0.3189391449531066,5.0,False,50.75834000001487,811.2216599999811
BT_0044,2025-09-19T18:00:00,115522.89748999999,trend,2025-09-19T23:00:00,115516.74762000001,no_trade,strategy_exit,211.99858239677852,long,-0.32928363382320347,-0.15532350740294723,0.3179978735951678,5.0,False,134.38251000001037,422.89748999998847
BT_0045,2025-09-21T01:00:00,115615.49999999999,trend,2025-09-21T04:00:00,115378.73577,no_trade,strategy_exit,211.84875834338973,long,-0.7516095015460823,-0.3547858894352281,0.3177731375150846,3.0,False,107.93000000000757,173.6699999999837
BT_0046,2025-09-22T07:00:00,112632.50998999999,trend,2025-09-22T11:00:00,112764.09303,chaos,strategy_exit,211.50677602018507,long,-0.07016716599792819,-0.03317490215596299,0.3172601640302776,4.0,False,343.5100100000127,458.9899899999873
BT_0047,2025-09-23T12:00:00,113053.96101999999,trend,2025-09-23T15:00:00,112769.30781,chaos,strategy_exit,211.4748499596578,long,-0.8496747763164485,-0.40178526027021055,0.3172122749394867,3.0,False,236.5389800000121,557.3510199999873
BT_0048,2025-09-23T18:00:00,111891.8801,trend,2025-09-23T21:00:00,112049.37845999999,chaos,strategy_exit,211.08824793643154,long,-0.01950578116769458,-0.009240581301128935,0.3166323719046473,3.0,False,310.3599000000104,433.15009999999893
BT_0049,2025-09-24T13:00:00,112936.44361999998,trend,2025-09-24T16:00:00,113618.27798999999,no_trade,strategy_exit,211.07937280600282,long,0.9577363796910693,0.45373281479820304,0.31661905920900424,3.0,True,953.5563800000236,112.83361999997578
BT_0050,2025-09-25T04:00:00,111847.39566,trend,2025-09-25T15:00:00,111469.18923,chaos,strategy_exit,211.51514285876064,long,-1.0325006961244592,-0.48814504823132787,0.31727271428814097,11.0,False,399.0643400000117,1217.4056599999894
BT_0051,2025-09-25T17:00:00,108942.46363,trend,2025-09-25T19:00:00,109250.64,no_trade,strategy_exit,211.04535504202425,long,0.28043693001155984,0.13287993472100726,0.3165680325630364,2.0,True,1030.9363699999958,310.9536300000036
