timestamp,capital,cash,position_value,open_positions
2026-02-14 15:18:29.171746,500.0,500.0,0.0,0
2026-02-14 15:18:29.172192,500.0,,,0
2026-02-14 16:18:29.171750,500.0,500.0,0.0,0
2026-02-14 17:18:29.171750,500.0,500.0,0.0,0
2026-02-14 18:18:29.171750,500.0,500.0,0.0,0
2026-02-14 19:18:29.171750,500.0,500.0,0.0,0
2026-02-14 20:18:29.171750,500.0,500.0,0.0,0
2026-02-14 21:18:29.171750,500.0,500.0,0.0,0
2026-02-14 22:18:29.171750,500.0,500.0,0.0,0
2026-02-14 23:18:29.171750,500.0,500.0,0.0,0
2026-02-15 00:18:29.171750,500.0,500.0,0.0,0
2026-02-15 01:18:29.171750,500.0,500.0,0.0,0
2026-02-15 02:18:29.171750,500.0,500.0,0.0,0
2026-02-15 03:18:29.171750,500.0,500.0,0.0,0
2026-02-15 04:18:29.171750,500.0,500.0,0.0,0
2026-02-15 05:18:29.171750,500.0,500.0,0.0,0
2026-02-15 06:18:29.171750,500.0,500.0,0.0,0
2026-02-15 07:18:29.171750,500.0,500.0,0.0,0
2026-02-15 08:18:29.171750,500.0,500.0,0.0,0
2026-02-15 09:18:29.171750,500.0,500.0,0.0,0
2026-02-15 10:18:29.171750,500.0,500.0,0.0,0
2026-02-15 11:18:29.171750,500.0,500.0,0.0,0
2026-02-15 12:18:29.171750,500.0,500.0,0.0,0
2026-02-15 13:18:29.171750,500.0,500.0,0.0,0
2026-02-15 14:18:29.171750,500.0,500.0,0.0,0
2026-02-15 15:18:29.171750,500.0,500.0,0.0,0
2026-02-15 16:18:29.171750,500.0,500.0,0.0,0
2026-02-15 17:18:29.171750,500.0,500.0,0.0,0
2026-02-15 18:18:29.171750,500.0,500.0,0.0,0
2026-02-15 19:18:29.171750,500.0,500.0,0.0,0
2026-02-15 20:18:29.171750,500.0,500.0,0.0,0
2026-02-15 21:18:29.171750,500.0,500.0,0.0,0
2026-02-15 22:18:29.171750,500.0,500.0,0.0,0
2026-02-15 23:18:29.171750,500.0,500.0,0.0,0
2026-02-16 00:18:29.171750,500.0,500.0,0.0,0
2026-02-16 01:18:29.171750,500.0,500.0,0.0,0
2026-02-16 02:18:29.171750,500.0,500.0,0.0,0
2026-02-16 03:18:29.171750,500.0,500.0,0.0,0
2026-02-16 04:18:29.171750,500.0,500.0,0.0,0
2026-02-16 05:18:29.171750,500.0,500.0,0.0,0
2026-02-16 06:18:29.171750,500.0,500.0,0.0,0
2026-02-16 07:18:29.171750,500.0,500.0,0.0,0
2026-02-16 08:18:29.171750,500.0,500.0,0.0,0
2026-02-16 09:18:29.171750,500.0,500.0,0.0,0
2026-02-16 10:18:29.171750,500.0,500.0,0.0,0
2026-02-16 11:18:29.171750,500.0,500.0,0.0,0
2026-02-16 12:18:29.171750,500.0,500.0,0.0,0
2026-02-16 13:18:29.171750,500.0,500.0,0.0,0
2026-02-16 14:18:29.171750,500.0,500.0,0.0,0
2026-02-16 15:18:29.171750,500.0,500.0,0.0,0
2026-02-16 16:18:29.171750,500.0,500.0,0.0,0
2026-02-16 17:18:29.171750,500.0,500.0,0.0,0
2026-02-16 18:18:29.171750,500.0,500.0,0.0,0
2026-02-16 19:18:29.171750,500.0,500.0,0.0,0
2026-02-16 20:18:29.171750,500.0,500.0,0.0,0
2026-02-16 21:18:29.171750,500.0,500.0,0.0,0
2026-02-16 22:18:29.171750,500.0,500.0,0.0,0
2026-02-16 23:18:29.171750,500.0,500.0,0.0,0
2026-02-17 00:18:29.171750,500.0,500.0,0.0,0
2026-02-17 01:18:29.171750,500.0,500.0,0.0,0
2026-02-17 02:18:29.171750,500.0,500.0,0.0,0
2026-02-17 03:18:29.171750,500.0,500.0,0.0,0
2026-02-17 04:18:29.171750,500.0,500.0,0.0,0
2026-02-17 05:18:29.171750,500.0,500.0,0.0,0
2026-02-17 06:18:29.171750,500.0,500.0,0.0,0
2026-02-17 07:18:29.171750,500.0,500.0,0.0,0
2026-02-17 08:18:29.171750,500.0,500.0,0.0,0
2026-02-17 09:18:29.171750,500.0,500.0,0.0,0
2026-02-17 10:18:29.171750,500.0,500.0,0.0,0
2026-02-17 11:18:29.171750,500.0,500.0,0.0,0
2026-02-17 12:18:29.171750,500.0,500.0,0.0,0
2026-02-17 13:18:29.171750,500.0,500.0,0.0,0
2026-02-17 14:18:29.171750,500.0,500.0,0.0,0
2026-02-17 15:18:29.171750,500.0,500.0,0.0,0
2026-02-17 16:18:29.171750,500.0,500.0,0.0,0
2026-02-17 17:18:29.171750,500.0,500.0,0.0,0
2026-02-17 18:18:29.171750,500.0,500.0,0.0,0
2026-02-17 19:18:29.171750,500.0,500.0,0.0,0
2026-02-17 20:18:29.171750,500.0,500.0,0.0,0
2026-02-17 21:18:29.171750,500.0,500.0,0.0,0
2026-02-17 22:18:29.171750,500.0,500.0,0.0,0
2026-02-17 23:18:29.171750,500.0,500.0,0.0,0
2026-02-18 00:18:29.171750,500.0,500.0,0.0,0
2026-02-18 01:18:29.171750,500.0,500.0,0.0,0
2026-02-18 02:18:29.171750,500.0,500.0,0.0,0
2026-02-18 03:18:29.171750,500.0,500.0,0.0,0
2026-02-18 04:18:29.171750,500.0,500.0,0.0,0
2026-02-18 05:18:29.171750,500.0,500.0,0.0,0
2026-02-18 06:18:29.171750,500.0,500.0,0.0,0
2026-02-18 07:18:29.171750,500.0,500.0,0.0,0
2026-02-18 08:18:29.171750,500.0,500.0,0.0,0
2026-02-18 09:18:29.171750,500.0,500.0,0.0,0
2026-02-18 10:18:29.171750,500.0,500.0,0.0,0
2026-02-18 11:18:29.171750,500.0,500.0,0.0,0
2026-02-18 12:18:29.171750,500.0,500.0,0.0,0
2026-02-18 13:18:29.171750,500.0,500.0,0.0,0
2026-02-18 14:18:29.171750,500.0,500.0,0.0,0
2026-02-18 15:18:29.171750,500.0,500.0,0.0,0
2026-02-18 16:18:29.171750,500.0,500.0,0.0,0
2026-02-18 17:18:29.171750,500.0,500.0,0.0,0
2026-02-18 18:18:29.171750,500.0,500.0,0.0,0
2026-02-18 19:18:29.171750,500.0,500.0,0.0,0
2026-02-18 20:18:29.171750,500.0,500.0,0.0,0
2026-02-18 21:18:29.171750,500.0,500.0,0.0,0
2026-02-18 22:18:29.171750,500.0,500.0,0.0,0
2026-02-18 23:18:29.171750,500.0,500.0,0.0,0
2026-02-19 00:18:29.171750,500.0,500.0,0.0,0
2026-02-19 01:18:29.171750,500.0,500.0,0.0,0
2026-02-19 02:18:29.171750,500.0,500.0,0.0,0
2026-02-19 03:18:29.171750,500.0,500.0,0.0,0
2026-02-19 04:18:29.171750,500.0,500.0,0.0,0
2026-02-19 05:18:29.171750,500.0,500.0,0.0,0
2026-02-19 06:18:29.171750,500.0,500.0,0.0,0
2026-02-19 07:18:29.171750,500.0,500.0,0.0,0
2026-02-19 08:18:29.171750,500.0,500.0,0.0,0
2026-02-19 09:18:29.171750,500.0,500.0,0.0,0
2026-02-19 10:18:29.171750,500.0,500.0,0.0,0
2026-02-19 11:18:29.171750,500.0,500.0,0.0,0
2026-02-19 12:18:29.171750,500.0,500.0,0.0,0
2026-02-19 13:18:29.171750,500.0,500.0,0.0,0
2026-02-19 14:18:29.171750,499.7979674895096,230.4212868355781,269.3766806539315,1
2026-02-19 15:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-19 16:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-19 17:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-19 18:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-19 19:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-19 20:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-19 21:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-19 22:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-19 23:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 00:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 01:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 02:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 03:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 04:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 05:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 06:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 07:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 08:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 09:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 10:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 11:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 12:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 13:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 14:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 15:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 16:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 17:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 18:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 19:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 20:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 21:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 22:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-20 23:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 00:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 01:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 02:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 03:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 04:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 05:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 06:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 07:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 08:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 09:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 10:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 11:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 12:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 13:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 14:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 15:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 16:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 17:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 18:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 19:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 20:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 21:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 22:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-21 23:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 00:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 01:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 02:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 03:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 04:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 05:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 06:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 07:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 08:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 09:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 10:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 11:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 12:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 13:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 14:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 15:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 16:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 17:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 18:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 19:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 20:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 21:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 22:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-22 23:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-23 00:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-23 01:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-23 02:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-23 03:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-23 04:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-23 05:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-23 06:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-23 07:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-23 08:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-23 09:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-23 10:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
2026-02-23 11:18:29.171750,500.18397327195623,500.18397327195623,0.0,0
